tip index,oldtiplabel,newtiplabel,phylum,genus,species,,,
45,user54,beta31045,Betaproteobacteria,Janthinobacterium,sp.,,,
46,user76,beta206928,Betaproteobacteria,Massilia,alkalitolerans,,,
47,kbg.24441,DROP,#N/A,#N/A,#N/A,,,
48,user64,beta24441,Betaproteobacteria,Cupriavidus,basilensis,,,
49,user68,beta240123,Betaproteobacteria,Burkholderia,acidipaludis,,,
50,user72,beta207097,Betaproteobacteria,Derxia,gummosa,,,
51,user275,beta216529,Betaproteobacteria,Rubrivivax,benzoatilyticus,,,
52,kbg.26925,DROP,#N/A,#N/A,#N/A,,,
53,user57,beta26925,Betaproteobacteria,Mitsuaria,sp.,,,
54,user52,beta32077,Betaproteobacteria,Ideonella,sp.,,,
55,user274,beta208407,Betaproteobacteria,Variovorax,paradoxus,,,
56,user53,beta31501,Betaproteobacteria,Pseudacidovorax,intermedius,,,
57,user63,beta244814,Betaproteobacteria,Xenophilus,azovorans,,,
58,kbg.25416,DROP,#N/A,#N/A,#N/A,,,
59,user60,beta25416,Betaproteobacteria,Alicycliphilus,sp.,,,
60,kbg.1274,DROP,#N/A,#N/A,#N/A,,,
61,user77,beta1274,Betaproteobacteria,Delftia,acidovorans,,,
62,kbg.2733,DROP,#N/A,#N/A,#N/A,,,
63,user56,beta2733,Betaproteobacteria,Acidovorax,avenae,,,
64,user161,gamma241909,Gammaproteobacteria,Methylomicrobium,0,,,
65,user160,gamma206868,Gammaproteobacteria,Methylobacter,0,,,
66,user171,gamma29232,Gammaproteobacteria,Methylovulum,0,,,
67,user162,gamma206762,Gammaproteobacteria,Psychrobacter,0,,,
68,kbg.1291,DROP,#N/A,#N/A,#N/A,,,
69,user164,gamma1291,Gammaproteobacteria,Acinetobacter,0,,,
70,user165,gamma239727,Gammaproteobacteria,Alkanindiges,0,,,
71,kbg.1700,DROP,#N/A,#N/A,#N/A,,,
72,user172,gamma1700,Gammaproteobacteria,Providencia,0,,,
73,user170,gamma241870,Gammaproteobacteria,Mangrovibacter,0,,,
74,kbg.1658,DROP,#N/A,#N/A,#N/A,,,
75,user168,gamma1658,Gammaproteobacteria,Citrobacter,0,,,
76,user163,gamma244739,Gammaproteobacteria,Trabulsiella,0,,,
77,kbg.1036,DROP,#N/A,#N/A,#N/A,,,
78,user166,gamma1036,Gammaproteobacteria,Azotobacter,0,,,
79,kbg.1810,DROP,#N/A,#N/A,#N/A,,,
80,user167,gamma1810,Gammaproteobacteria,Cellvibrio,0,,,
81,user159,gamma25124,Gammaproteobacteria,Hydrocarboniphaga,0,,,
82,user174,gamma207278,Gammaproteobacteria,Sinobacter,0,,,
83,user175,gamma207279,Gammaproteobacteria,Solimonas,0,,,
84,kbg.27931,DROP,#N/A,#N/A,#N/A,,,
85,user158,gamma27931,Gammaproteobacteria,Burkholderia,0,,,
86,kbg.29680,DROP,#N/A,#N/A,#N/A,,,
87,user176,gamma29680,Gammaproteobacteria,Rudaea,0,,,
88,user169,gamma240435,Gammaproteobacteria,Dyella,0,,,
89,user173,gamma206796,Gammaproteobacteria,Rhodanobacter,0,,,
90,user125,verr29771,Verrucomicrobia,Verrucomicrobia,bacterium,,,
91,kbg.23631,DROP,#N/A,#N/A,#N/A,,,
92,user242,alpha23631,Alphaproteobacteria,Acetobacteraceae,bacterium,,,
93,user252,alpha239924,Alphaproteobacteria,Belnapia,moabensis,,,
94,user244,alpha239423,Alphaproteobacteria,Acidocella,facilis,,,
95,user243,alpha216325,Alphaproteobacteria,Acetobacter,aceti,,,
96,kbg.23125,DROP,#N/A,#N/A,#N/A,,,
97,user250,alpha23125,Alphaproteobacteria,Azospirillum,amazonense,,,
98,user271,alpha210983,Alphaproteobacteria,Skermanella,stibiiresistens,,,
99,user268,alpha210927,Alphaproteobacteria,Rhodospirillales,bacterium,,,
100,user255,alpha240433,Alphaproteobacteria,Dongia,sp.,,,
101,user265,alpha242169,Alphaproteobacteria,Paenirhodobacter,enshiensis,,,
102,user266,alpha210883,Alphaproteobacteria,Paracoccus,aminophilus,,,
103,user270,alpha242546,Alphaproteobacteria,Rubellimicrobium,mesophilum,,,
104,user258,alpha3561,Alphaproteobacteria,Ketogulonicigenium,vulgare,,,
105,user259,alpha27578,Alphaproteobacteria,Ketogulonigenium,vulgarum,,,
106,user260,alpha216012,Alphaproteobacteria,Lutibaculum,baratangense,,,
107,kbg.1464,DROP,#N/A,#N/A,#N/A,,,
108,user249,alpha1464,Alphaproteobacteria,Azorhizobium,caulinodans,,,
109,kbg.2715,DROP,#N/A,#N/A,#N/A,,,
110,user273,alpha2715,Alphaproteobacteria,Starkeya,novella,,,
111,kbg.29322,DROP,#N/A,#N/A,#N/A,,,
112,user247,alpha29322,Alphaproteobacteria,Ancylobacter,sp.,,,
113,kbg.25278,DROP,#N/A,#N/A,#N/A,,,
114,user269,alpha25278,Alphaproteobacteria,Rhodovulum,sp.,,,
115,kbg.1849,DROP,#N/A,#N/A,#N/A,,,
116,kbg.1850,DROP,#N/A,#N/A,#N/A,,,
117,kbg.1851,DROP,#N/A,#N/A,#N/A,,,
118,user264,alpha1849,Alphaproteobacteria,Oligotropha,carboxidovorans,,,
119,user253,alpha240091,Alphaproteobacteria,Bradyrhizobium,diazoefficiens,,,
120,user263,alpha884,Alphaproteobacteria,Nitrobacter,hamburgensis,,,
121,kbg.1480,DROP,#N/A,#N/A,#N/A,,,
122,user261,alpha1480,Alphaproteobacteria,Methylobacterium,chloromethanicum,,,
123,kbg.1262,DROP,#N/A,#N/A,#N/A,,,
124,user251,alpha1262,Alphaproteobacteria,Beijerinckia,indica,,,
125,kbg.1263,DROP,#N/A,#N/A,#N/A,,,
126,user262,alpha1263,Alphaproteobacteria,Methylocella,silvestris,,,
127,user246,alpha216407,Alphaproteobacteria,Aminobacter,sp.,,,
128,kbg.24923,DROP,#N/A,#N/A,#N/A,,,
129,user245,alpha24923,Alphaproteobacteria,Agrobacterium,albertimagni,,,
130,user256,alpha213861,Alphaproteobacteria,Ensifer,adhaerens,,,
131,user257,alpha207171,Alphaproteobacteria,Kaistia,adipata,,,
132,user267,alpha3854,Alphaproteobacteria,Polymorphum,gilvum,,,
133,user254,alpha240427,Alphaproteobacteria,Devosia,riboflavina,,,
134,user272,alpha206960,Alphaproteobacteria,Sphingobium,baderi,,,
135,kbg.29554,DROP,#N/A,#N/A,#N/A,,,
136,user248,alpha29554,Alphaproteobacteria,Asticcacaulis,benevestitus,,,
137,kbg.1549,DROP,#N/A,#N/A,#N/A,,,
138,user241,delta1549,Deltaproteobacteria,Sorangium,cellulosum,,,
139,kbg.1591,DROP,#N/A,#N/A,#N/A,,,
140,user234,delta1591,Deltaproteobacteria,Anaeromyxobacter,dehalogenans,,,
141,kbg.24611,DROP,#N/A,#N/A,#N/A,,,
142,user235,delta24611,Deltaproteobacteria,Corallococcus,coralloides,,,
143,user236,delta31404,Deltaproteobacteria,Cystobacter,fuscus,,,
144,kbg.1143,DROP,#N/A,#N/A,#N/A,,,
145,user233,delta1143,Deltaproteobacteria,Stigmatella,aurantiaca,,,
146,user237,delta240449,Deltaproteobacteria,Enhygromyxa,salina,,,
147,user239,delta241294,Deltaproteobacteria,Hyalangium,minutum,,,
148,user238,delta1314,Deltaproteobacteria,Geobacter,bemidjiensis,,,
149,user232,delta216275,Deltaproteobacteria,Bdellovibrio,bacteriovorus,,,
150,user240,delta242777,Deltaproteobacteria,Sandaracinus,amylolyticus,,,
151,user23,acido207147,Acidobacteria,Geothrix,fermentans,,,
152,user9,acido28199,Acidobacteria,Holophaga,foetida,,,
153,user12,acido244709,Acidobacteria,Thermoanaerobaculum,aquaticum,,,
154,user7,acido28550,Acidobacteria,Chloracidobacterium,thermophilum,,,
155,kbg.26154,DROP,#N/A,#N/A,#N/A,,,
156,user10,acido26154,Acidobacteria,Solibacter,usitatus,,,
157,user2,acido460,Acidobacteria,Candidatus,Solibacter,,,
158,user19,acido208549,Acidobacteria,Acidobacteriaceae,bacterium,,,
159,user14,acido240122,Acidobacteria,Bryobacter,aggregatus,,,
160,kbg.26089,DROP,#N/A,#N/A,#N/A,,,
161,user11,acido26089,Acidobacteria,Acidobacteria,bacterium,,,
162,user1,acido341,Acidobacteria,Candidatus,Koribacter,,,
163,user16,acido239419,Acidobacteria,Acidobacteriaceae,bacterium,,,
164,user21,acido208547,Acidobacteria,Acidobacteriaceae,bacterium,,,
165,user15,acido239421,Acidobacteria,Acidobacterium,sp.,,,
166,user3,acido470,Acidobacteria,Acidobacterium,capsulatum,,,
167,kbg.28399,DROP,#N/A,#N/A,#N/A,,,
168,user8,acido28399,Acidobacteria,Terriglobus,roseus,,,
169,kbg.1294,DROP,#N/A,#N/A,#N/A,,,
170,user25,acido1294,Acidobacteria,Acidobacterium,sp.,,,
171,kbg.1295,DROP,#N/A,#N/A,#N/A,,,
172,user24,acido1295,Acidobacteria,Terriglobus,saanensis,,,
173,user4,acido3010,Acidobacteria,Acidobacterium,sp.,,,
174,user5,acido3009,Acidobacteria,Acidobacterium,sp.,,,
175,user20,acido208548,Acidobacteria,Acidobacteriaceae,bacterium,,,
176,user13,acido240438,Acidobacteria,Edaphobacter,aggregans,,,
177,user17,acido239417,Acidobacteria,Acidobacteria,bacterium,,,
178,user18,acido215705,Acidobacteria,Acidobacteriaceae,bacterium,,,
179,kbg.2957,DROP,#N/A,#N/A,#N/A,,,
180,user6,acido2957,Acidobacteria,Acidobacterium,sp.,,,
181,user22,acido208300,Acidobacteria,Acidobacteria,bacterium,,,
182,user136,firm209983,Firmicutes,Moorella,thermoacetica,,,
183,kbg.1762,DROP,#N/A,#N/A,#N/A,,,
184,user133,firm1762,Firmicutes,Desulfotomaculum,acetoxidans,,,
185,kbg.1822,DROP,#N/A,#N/A,#N/A,,,
186,kbg.1823,DROP,#N/A,#N/A,#N/A,,,
187,user141,firm1822,Firmicutes,Heliobacterium,modesticaldum,,,
188,user144,firm207030,Firmicutes,Anaeroarcus,burkinensis,,,
189,user135,firm209329,Firmicutes,Clostridiaceae,bacterium,,,
190,kbg.1050,DROP,#N/A,#N/A,#N/A,,,
191,kbg.26493,DROP,#N/A,#N/A,#N/A,,,
192,user137,firm1050,Firmicutes,Clostridium,phytofermentans,,,
193,user134,firm206769,Firmicutes,Acetobacterium,dehalogenans,,,
194,user154,firm216502,Firmicutes,Thermobrachium,celere,,,
195,kbg.1960,DROP,#N/A,#N/A,#N/A,,,
196,user142,firm1960,Firmicutes,Alicyclobacillus,acidocaldarius,,,
197,user143,firm206825,Firmicutes,Thermicanus,aegyptius,,,
198,user152,firm208667,Firmicutes,Paenibacillaceae,bacterium,,,
199,user149,firm207276,Firmicutes,Shimazuella,kribbensis,,,
200,kbg.1051,DROP,#N/A,#N/A,#N/A,,,
201,user138,firm1051,Firmicutes,Brevibacillus,brevis,,,
202,user145,firm207033,Firmicutes,Aneurinibacillus,terranovensis,,,
203,user146,firm207155,Firmicutes,Halalkalibacillus,halophilus,,,
204,user148,firm207227,Firmicutes,Paucisalibacillus,globulus,,,
205,user153,firm209251,Firmicutes,Gracilibacillus,boraciitolerans,,,
206,user147,firm207188,Firmicutes,Marinococcus,halotolerans,,,
207,user156,firm241242,Firmicutes,Geomicrobium,sp.,,,
208,user157,firm242567,Firmicutes,Salinicoccus,luteus,,,
209,kbg.1079,DROP,#N/A,#N/A,#N/A,,,
210,user139,firm1079,Firmicutes,Bacillus,cereus,,,
211,user150,firm207289,Firmicutes,Sporosarcina,ureae,,,
212,user151,firm208216,Firmicutes,Viridibacillus,arenosi,,,
213,kbg.1506,DROP,#N/A,#N/A,#N/A,,,
214,user140,firm1506,Firmicutes,Lysinibacillus,sphaericus,,,
215,kbg.23121,DROP,#N/A,#N/A,#N/A,,,
216,user155,firm23121,Firmicutes,Solibacillus,silvestris,,,
217,user43,actino207226,Actinobacteria,Patulibacter,0,,,
218,user222,actino242832,Actinobacteria,Solirubrobacterales,0,,,
219,kbg.1646,DROP,#N/A,#N/A,#N/A,,,
220,user191,actino1646,Actinobacteria,Conexibacter,0,,,
221,user203,actino207280,Actinobacteria,Solirubrobacter,0,,,
222,user179,actino206917,Actinobacteria,Propionimicrobium,0,,,
223,kbg.204,DROP,#N/A,#N/A,#N/A,,,
224,user48,actino204,Actinobacteria,Nocardioides,0,,,
225,user181,actino209263,Actinobacteria,Marmoricola,0,,,
226,user178,actino1734,Actinobacteria,Kribbella,0,,,
227,user27,actino29545,Actinobacteria,Actinopolymorpha,0,,,
228,user218,actino242134,Actinobacteria,Nonomuraea,0,,,
229,kbg.1728,DROP,#N/A,#N/A,#N/A,,,
230,user193,actino1728,Actinobacteria,Streptosporangium,0,,,
231,user206,actino215749,Actinobacteria,Microbispora,0,,,
232,user211,actino241290,Actinobacteria,Herbidospora,0,,,
233,user197,actino207004,Actinobacteria,Actinomadura,0,,,
234,user223,actino242857,Actinobacteria,Spirillospora,0,,,
235,kbg.1539,DROP,#N/A,#N/A,#N/A,,,
236,kbg.26719,DROP,#N/A,#N/A,#N/A,,,
237,user189,actino1539,Actinobacteria,Nocardiopsis,0,,,
238,user228,actino30857,Actinobacteria,Thermobifida,0,,,
239,user30,actino244091,Actinobacteria,Streptacidiphilus,0,,,
240,user214,actino241325,Actinobacteria,Kitasatospora,0,,,
241,user217,actino241941,Actinobacteria,Microtetraspora,0,,,
242,kbg.1730,DROP,#N/A,#N/A,#N/A,,,
243,user194,actino1730,Actinobacteria,Catenulispora,0,,,
244,user207,actino215897,Actinobacteria,Actinospica,0,,,
245,kbg.29130,DROP,#N/A,#N/A,#N/A,,,
246,user29,actino29130,Actinobacteria,Sporichthya,0,,,
247,user208,actino216527,Actinobacteria,Jiangella,0,,,
248,kbg.1537,DROP,#N/A,#N/A,#N/A,,,
249,user188,actino1537,Actinobacteria,Cellulomonas,0,,,
250,user219,actino242150,Actinobacteria,Oerskovia,0,,,
251,user230,actino3135,Actinobacteria,Isoptericola,0,,,
252,user38,actino216381,Actinobacteria,Promicromonospora,0,,,
253,user33,actino241246,Actinobacteria,Georgenia,0,,,
254,kbg.1687,DROP,#N/A,#N/A,#N/A,,,
255,user192,actino1687,Actinobacteria,Beutenbergia,0,,,
256,user42,actino207261,Actinobacteria,Ruania,0,,,
257,user200,actino207069,Actinobacteria,Brevibacterium,0,,,
258,kbg.1142,DROP,#N/A,#N/A,#N/A,,,
259,user185,actino1142,Actinobacteria,Kocuria,0,,,
260,user177,actino207323,Actinobacteria,Yaniella,0,,,
261,kbg.1571,DROP,#N/A,#N/A,#N/A,,,
262,user190,actino1571,Actinobacteria,Arthrobacter,0,,,
263,user202,actino207250,Actinobacteria,Pseudoclavibacter,0,,,
264,user44,actino207093,Actinobacteria,Curtobacterium,0,,,
265,user183,actino216514,Actinobacteria,Corynebacterium-like,0,,,
266,user199,actino207016,Actinobacteria,Agromyces,0,,,
267,user198,actino207015,Actinobacteria,Agrococcus,0,,,
268,user180,actino207154,Actinobacteria,Gulosibacter,0,,,
269,kbg.29591,DROP,#N/A,#N/A,#N/A,,,
270,user226,actino29591,Actinobacteria,Demetria,0,,,
271,user229,actino30870,Actinobacteria,Terracoccus,0,,,
272,user40,actino211001,Actinobacteria,Intrasporangium,0,,,
273,user213,actino241322,Actinobacteria,Kineosporia,0,,,
274,user37,actino216387,Actinobacteria,Cryptosporangium,0,,,
275,kbg.1543,DROP,#N/A,#N/A,#N/A,,,
276,kbg.1544,DROP,#N/A,#N/A,#N/A,,,
277,kbg.26720,DROP,#N/A,#N/A,#N/A,,,
278,user49,actino1543,Actinobacteria,Stackebrandtia,0,,,
279,user46,actino206826,Actinobacteria,Haloglycomyces,0,,,
280,kbg.29633,DROP,#N/A,#N/A,#N/A,,,
281,user26,actino29633,Actinobacteria,Longispora,0,,,
282,user34,actino240390,Actinobacteria,Dactylosporangium,0,,,
283,user35,actino240250,Actinobacteria,Catenuloplanes,0,,,
284,user216,actino241934,Actinobacteria,Micromonospora,0,,,
285,user204,actino208409,Actinobacteria,Actinoplanes,0,,,
286,user209,actino239739,Actinobacteria,Ampullariella,0,,,
287,kbg.29570,DROP,#N/A,#N/A,#N/A,,,
288,user225,actino29570,Actinobacteria,Catelliglobosispora,0,,,
289,user201,actino207161,Actinobacteria,Hamadaea,0,,,
290,kbg.2051,DROP,#N/A,#N/A,#N/A,,,
291,user47,actino2051,Actinobacteria,Geodermatophilus,0,,,
292,user210,actino241238,Actinobacteria,Geodermatophilaceae,0,,,
293,kbg.1498,DROP,#N/A,#N/A,#N/A,,,
294,user187,actino1498,Actinobacteria,Amycolicicoccus,0,,,
295,user41,actino207489,Actinobacteria,Rhodococcus,0,,,
296,kbg.29691,DROP,#N/A,#N/A,#N/A,,,
297,user227,actino29691,Actinobacteria,Smaragdicoccus,0,,,
298,user195,actino206765,Actinobacteria,Nocardia,0,,,
299,user220,actino242230,Actinobacteria,Pilimelia,0,,,
300,user182,actino209774,Actinobacteria,Williamsia,0,,,
301,user215,actino241330,Actinobacteria,[Kitasatospora],0,,,
302,kbg.1015,DROP,#N/A,#N/A,#N/A,,,
303,user184,actino1015,Actinobacteria,Mycobacterium,0,,,
304,kbg.29543,DROP,#N/A,#N/A,#N/A,,,
305,user28,actino29543,Actinobacteria,Actinomycetospora,0,,,
306,user212,actino241321,Actinobacteria,Kibdelosporangium,0,,,
307,user45,actino207003,Actinobacteria,Actinokineospora,0,,,
308,user205,actino215443,Actinobacteria,Kutzneria,0,,,
309,user221,actino242565,Actinobacteria,Saccharothrix,0,,,
310,user224,actino244743,Actinobacteria,Umezawaea,0,,,
311,user31,actino241833,Actinobacteria,Lentzea,0,,,
312,user32,actino241810,Actinobacteria,Lechevalieria,0,,,
313,user36,actino239728,Actinobacteria,Allokutzneria,0,,,
314,kbg.1329,DROP,#N/A,#N/A,#N/A,,,
315,user186,actino1329,Actinobacteria,Saccharopolyspora,0,,,
316,user196,actino206770,Actinobacteria,Amycolatopsis,0,,,
317,user39,actino216320,Actinobacteria,Actinopolyspora,0,,,
318,kbg.26181,DROP,#N/A,#N/A,#N/A,,,
319,user94,plancto26181,Planctomycetes,planctomycete,KSU-1,,,
320,user91,plancto25736,Planctomycetes,Kuenenia,stuttgartiensis,,,
321,user92,plancto25737,Planctomycetes,Kuenenia,stuttgartiensis,,,
322,user105,plancto209278,Planctomycetes,Planctomycetes,bacterium,,,
323,kbg.24397,DROP,#N/A,#N/A,#N/A,,,
324,user90,plancto24397,Planctomycetes,Zavarzinella,formosa,,,
325,user104,plancto208015,Planctomycetes,Gemmata,sp.,,,
326,user93,plancto26116,Planctomycetes,Gemmata,obscuriglobus,,,
327,kbg.2443,DROP,#N/A,#N/A,#N/A,,,
328,user85,plancto2443,Planctomycetes,Isosphaera,pallida,,,
329,kbg.28067,DROP,#N/A,#N/A,#N/A,,,
330,user96,plancto28067,Planctomycetes,Singulisphaera,acidiphila,,,
331,user102,plancto31613,Planctomycetes,Rhodopirellula,maiorica,,,
332,user100,plancto31529,Planctomycetes,Rhodopirellula,europaea,,,
333,user99,plancto31528,Planctomycetes,Rhodopirellula,europaea,,,
334,kbg.28854,DROP,#N/A,#N/A,#N/A,,,
335,user98,plancto28854,Planctomycetes,Rhodopirellula,baltica,,,
336,kbg.28853,DROP,#N/A,#N/A,#N/A,,,
337,user97,plancto28853,Planctomycetes,Rhodopirellula,baltica,,,
338,user78,plancto477,Planctomycetes,Rhodopirellula,baltica,,,
339,user88,plancto3852,Planctomycetes,Rhodopirellula,baltica,,,
340,user101,plancto31530,Planctomycetes,Rhodopirellula,sallentina,,,
341,user103,plancto32236,Planctomycetes,Rhodopirellula,sp.,,,
342,kbg.2125,DROP,#N/A,#N/A,#N/A,,,
343,user84,plancto2125,Planctomycetes,Pirellula,staleyi,,,
344,user79,plancto768,Planctomycetes,Blastopirellula,marina,,,
345,user80,plancto769,Planctomycetes,Blastopirellula,marina,,,
346,kbg.24393,DROP,#N/A,#N/A,#N/A,,,
347,user89,plancto24393,Planctomycetes,Schlesneria,paludicola,,,
348,kbg.1964,DROP,#N/A,#N/A,#N/A,,,
349,user83,plancto1964,Planctomycetes,Planctomyces,limnophilus,,,
350,kbg.1963,DROP,#N/A,#N/A,#N/A,,,
351,user82,plancto1963,Planctomycetes,Planctomyces,limnophilus,,,
352,kbg.26850,DROP,#N/A,#N/A,#N/A,,,
353,user95,plancto26850,Planctomycetes,Planctomyces,limnophilus,,,
354,user81,plancto978,Planctomycetes,Planctomyces,maris,,,
355,user86,plancto3245,Planctomycetes,Planctomyces,brasiliensis,,,
356,user87,plancto3246,Planctomycetes,Planctomyces,brasiliensis,,,
357,user129,verr216496,Verrucomicrobia,Verrucomicrobia,bacterium,,,
358,user126,verr32425,Verrucomicrobia,Verrucomicrobia,bacterium,,,
359,user127,verr32426,Verrucomicrobia,Verrucomicrobia,bacterium,,,
360,kbg.2493,DROP,#N/A,#N/A,#N/A,,,
361,user112,verr2493,Verrucomicrobia,Coraliomargarita,akajimensis,,,
362,kbg.1156,DROP,#N/A,#N/A,#N/A,,,
363,user109,verr1156,Verrucomicrobia,Verrucomicrobiae,bacterium,,,
364,user110,verr1567,Verrucomicrobia,Opitutus,terrae,,,
365,user120,verr26240,Verrucomicrobia,Opitutaceae,bacterium,,,
366,kbg.26239,DROP,#N/A,#N/A,#N/A,,,
367,user119,verr26239,Verrucomicrobia,Opitutaceae,bacterium,,,
368,kbg.27772,DROP,#N/A,#N/A,#N/A,,,
369,user122,verr27772,Verrucomicrobia,Opitutaceae,bacterium,,,
370,user107,verr874,Verrucomicrobia,bacterium,Ellin514,,,
371,user124,verr29794,Verrucomicrobia,Verrucomicrobium,sp.,,,
372,user128,verr215896,Verrucomicrobia,Verrucomicrobia,bacterium,,,
373,kbg.1746,DROP,#N/A,#N/A,#N/A,,,
374,user111,verr1746,Verrucomicrobia,Methylacidiphilum,infernorum,,,
375,kbg.24924,DROP,#N/A,#N/A,#N/A,,,
376,user118,verr24924,Verrucomicrobia,Methylacidiphilum,fumariolicum,,,
377,kbg.1806,DROP,#N/A,#N/A,#N/A,,,
378,user231,verr1806,Verrucomicrobia,Chthoniobacter,flavus,,,
379,user106,verr471,Verrucomicrobia,Verrucomicrobium,spinosum,,,
380,user132,verr244748,Verrucomicrobia,Verrucomicrobium,sp.,,,
381,user130,verr239716,Verrucomicrobia,Akkermansia,muciniphila,,,
382,kbg.1002,DROP,#N/A,#N/A,#N/A,,,
383,user108,verr1002,Verrucomicrobia,Akkermansia,muciniphila,,,
384,kbg.26477,DROP,#N/A,#N/A,#N/A,,,
385,user121,verr26477,Verrucomicrobia,Akkermansia,muciniphila,,,
386,user131,verr241270,Verrucomicrobia,Haloferula,sp.,,,
387,kbg.29679,DROP,#N/A,#N/A,#N/A,,,
388,user123,verr29679,Verrucomicrobia,Rubritalea,marina,,,
389,kbg.23285,DROP,#N/A,#N/A,#N/A,,,
390,user113,verr23285,Verrucomicrobia,Verrucomicrobia,bacterium,,,
391,kbg.23289,DROP,#N/A,#N/A,#N/A,,,
392,user117,verr23289,Verrucomicrobia,Verrucomicrobia,bacterium,,,
393,kbg.23288,DROP,#N/A,#N/A,#N/A,,,
394,user116,verr23288,Verrucomicrobia,Verrucomicrobia,bacterium,,,
395,kbg.23286,DROP,#N/A,#N/A,#N/A,,,
396,user114,verr23286,Verrucomicrobia,Verrucomicrobia,bacterium,,,
397,kbg.23287,DROP,#N/A,#N/A,#N/A,,,
398,verr23287,DROP,#N/A,#N/A,#N/A,,,
