,Exrxns,Cexrxns,CUE,GC,Contigs,Genes,DNAsize,Phyla,Color
actino2051,118,92,0.577089,73.99,39,5018,5300980,actino,lightblue2
beta31045,132,102,0.580848,64.22,2,6089,7114674,beta,gray22
beta25772,122,95,0.583189,68.65,317,3853,4280700,beta,gray22
beta24441,140,109,0.588266,65.4,416,8387,8546215,beta,gray22
beta214586,138,108,0.589514,55.06,15,4607,4845990,beta,gray22
beta29625,122,93,0.591171,54.55,25,3539,3785435,beta,gray22
actino207226,114,86,0.594901,74.43,32,4109,4470560,actino,lightblue2
acido28199,78,51,0.598709,62.94,71,3637,4181446,acido,darkorange2
verr874,115,89,0.602431,52.59,102,7019,7414222,verr,mediumorchid3
plancto26850,95,69,0.608415,53.69,14,5160,5456253,plancto,darkolivegreen4
acido341,97,70,0.618722,58.38,1,5109,5650368,acido,darkorange2
beta32077,128,100,0.619035,68.7,631,4499,4936752,beta,gray22
beta242115,95,69,0.619071,53.21,31,3317,3187395,beta,gray22
actino207003,106,78,0.619873,70.23,106,6539,7276966,actino,lightblue2
actino211001,106,77,0.62474,71.39,140,4243,4636528,actino,lightblue2
plancto2125,87,63,0.625463,57.46,1,4957,6196199,plancto,darkolivegreen4
plancto25736,90,64,0.628934,40.72,1311,4185,3810257,plancto,darkolivegreen4
verr1746,90,66,0.633868,45.48,1,2580,2287145,verr,mediumorchid3
beta244814,123,94,0.639038,69.79,137,6248,6529337,beta,gray22
beta207077,121,95,0.639994,56.06,21,3215,3424654,beta,gray22
plancto3246,88,68,0.641373,56.45,1,5220,6006602,plancto,darkolivegreen4
beta2733,140,110,0.643327,68.89,84,4852,5428809,beta,gray22
verr23286,90,69,0.652975,47.52,1141,2876,3346464,verr,mediumorchid3
verr24924,90,66,0.657972,40.91,109,2597,2365421,verr,mediumorchid3
plancto1963,96,70,0.660853,53.69,14,5266,5456253,plancto,darkolivegreen4
beta2488,104,81,0.663046,54.61,3,2801,3082007,beta,gray22
acido470,86,63,0.669929,60.5,1,3395,4127356,acido,darkorange2
actino216320,103,77,0.682984,71.48,732,3592,3836673,actino,lightblue2
verr471,103,78,0.686011,60.31,1,6535,8220857,verr,mediumorchid3
verr215896,92,68,0.688617,62.74,3,2569,2465519,verr,mediumorchid3
plancto769,99,76,0.689341,56.91,2,5325,6287830,plancto,darkolivegreen4
beta2655,105,77,0.703486,67.92,1,4031,4376040,beta,gray22
beta26925,117,90,0.705907,66.54,607,5336,6655047,beta,gray22
verr239716,92,69,0.706007,56.03,58,2609,2557614,verr,mediumorchid3
acido28550,98,73,0.710723,61.34,2,3136,3695372,acido,darkorange2
plancto26181,82,55,0.713966,40.05,4,4123,4087350,plancto,darkolivegreen4
verr26477,91,69,0.714137,55.76,1,2323,2664102,verr,mediumorchid3
beta242114,94,72,0.736693,43.5,94,2717,2766794,beta,gray22
plancto1964,97,71,0.737517,53.68,2,5227,5460085,plancto,darkolivegreen4
verr23285,101,79,0.738855,48.4,1103,2240,2573298,verr,mediumorchid3
beta3265,103,76,0.740662,64.7,3,4542,4727255,beta,gray22
actino29633,107,81,0.748,70.29,29,6380,6821201,actino,lightblue2
plancto25737,80,53,0.764718,41.12,2717,3736,3764664,plancto,darkolivegreen4
acido208300,92,69,0.798028,52.86,157,820,789133,acido,darkorange2
verr216496,100,77,0.804722,43.66,261,1608,1693598,verr,mediumorchid3
verr1002,91,69,0.814216,55.76,1,2498,2664102,verr,mediumorchid3
actino29130,90,62,0.846149,71.41,31,5236,5497153,actino,lightblue2
verr32426,80,57,0.885653,42.55,203,1117,1147554,verr,mediumorchid3
verr29771,85,62,0.893748,42.57,189,789,764777,verr,mediumorchid3
plancto209278,75,49,0.904324,44.64,71,810,873207,plancto,darkolivegreen4
verr32425,80,57,0.910971,42.37,182,1206,1231056,verr,mediumorchid3
verr23289,86,65,0.916791,45.93,754,911,1011436,verr,mediumorchid3
