,Exrxns,Cexrxns,CUE,GC,Genes,DNAsize,color,Phyla,,,,
plancto3245,98,76,0.451654,56.45,5156,5959956,darkolivegreen4,plancto,,,,  
plancto3246,88,68,0.641373,56.45,5220,6006602,darkolivegreen4,plancto,,,,  
verr216496,100,77,0.804722,43.66,1608,1693598,mediumorchid3,verr,,,,   
verr32425,80,57,0.910971,42.37,1206,1231056,mediumorchid3,verr,,,,    
verr32426,80,57,0.885653,42.55,1117,1147554,mediumorchid3,verr,,,,    
verr2493,104,79,0.351032,53.6,3081,3750771,mediumorchid3,verr,,,,     
verr1156,110,85,0.49119,54.2,4838,5775745,mediumorchid3,verr,,,,     
verr1567,113,84,0.417162,65.34,4813,5957605,mediumorchid3,verr,,,,     
verr26240,111,84,0.468751,60.71,4494,5223003,mediumorchid3,verr,,,,    
verr26239,125,99,0.459383,63.21,6055,7139996,mediumorchid3,verr,,,,    
verr27772,126,100,0.490818,63.41,6182,7405432,mediumorchid3,verr,,,,    
verr874,115,89,0.602431,52.59,7019,7414222,mediumorchid3,verr,,,,      
verr215896,92,68,0.688617,62.74,2569,2465519,mediumorchid3,verr,,,,   
verr1746,90,66,0.633868,45.48,2580,2287145,mediumorchid3,verr,,,,     
verr24924,90,66,0.657972,40.91,2597,2365421,mediumorchid3,verr,,,,    
verr1806,121,95,0.430921,61.06,6781,7848700,mediumorchid3,verr,,,,     
verr471,103,78,0.686011,60.31,6535,8220857,mediumorchid3,verr,,,,      
verr244748,113,87,0.538996,60.51,6981,8576512,mediumorchid3,verr,,,,   
verr239716,92,69,0.706007,56.03,2609,2557614,mediumorchid3,verr,,,,   
verr1002,91,69,0.814216,55.76,2498,2664102,mediumorchid3,verr,,,,     
verr26477,91,69,0.714137,55.76,2323,2664102,mediumorchid3,verr,,,,    
verr241270,128,101,0.330889,62.49,6460,7795129,mediumorchid3,verr,,,,   
verr29679,91,68,0.493208,51.56,2685,3013001,mediumorchid3,verr,,,,    
verr23285,101,79,0.738855,48.4,2240,2573298,mediumorchid3,verr,,,,    
verr23289,86,65,0.916791,45.93,911,1011436,mediumorchid3,verr,,,,    
verr23288,103,79,0.431899,45.69,4135,4850044,mediumorchid3,verr,,,,    
verr23286,90,69,0.652975,47.52,2876,3346464,mediumorchid3,verr,,,, 
