PHYLA,MODEL:,EXtot,Dglu,Fum,Acetate,Acetaldehyde,Oxo,Eth,Formate,DFruc,LGlutamine,LGlutamate,LLact,LMal,Pyr,Succ,Meth
Betaproteobacteria,32077,128,1,1,0,0,1,0,0,1,1,1,1,0,0,1,0
Betaproteobacteria,31501,133,1,1,0,0,1,0,0,1,1,1,1,1,0,1,0
Betaproteobacteria,31045,132,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0
Betaproteobacteria,29625,122,1,1,0,0,0,0,1,1,0,1,1,0,0,1,0
Betaproteobacteria,28605,94,1,1,0,0,0,0,1,1,1,1,1,0,0,1,0
Betaproteobacteria,2733,140,1,1,0,0,0,0,0,1,1,1,1,1,0,1,0
Betaproteobacteria,26925,117,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0
Betaproteobacteria,2655,105,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0
Betaproteobacteria,25772,122,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0
Betaproteobacteria,25416,86,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0
Betaproteobacteria,2488,104,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Betaproteobacteria,244921,131,1,1,0,0,0,0,1,1,1,1,0,0,0,1,0
Betaproteobacteria,244814,123,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0
Betaproteobacteria,24441,140,1,1,0,0,0,0,0,1,1,1,1,1,0,1,0
Betaproteobacteria,242115,95,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0
Betaproteobacteria,242114,94,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Betaproteobacteria,240270,151,1,1,0,0,0,0,1,1,0,1,1,1,0,1,0
Betaproteobacteria,240123,151,1,1,0,0,0,0,0,1,0,1,1,1,0,1,0
Betaproteobacteria,239760,135,1,1,0,0,0,0,0,1,1,1,0,1,0,1,0
Betaproteobacteria,23136,130,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0
Betaproteobacteria,2164,133,1,1,0,0,0,0,0,1,1,1,1,1,0,1,0
Betaproteobacteria,214586,138,1,1,0,0,1,0,0,1,1,1,1,1,0,1,0
Betaproteobacteria,207097,125,1,1,0,0,0,0,0,1,1,1,1,0,0,1,0
Betaproteobacteria,207079,110,1,1,0,0,0,0,0,1,1,1,0,1,0,1,0
Betaproteobacteria,207077,121,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0
Betaproteobacteria,207018,139,1,1,0,0,0,0,0,1,1,1,1,0,0,1,0
Betaproteobacteria,206928,134,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0
Betaproteobacteria,1274,120,1,1,0,0,1,0,0,1,1,1,1,1,0,1,0
Planctomycetes,477,100,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0
Planctomycetes,768,103,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Planctomycetes,769,99,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Planctomycetes,978,93,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0
Planctomycetes,1963,96,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Planctomycetes,1964,97,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Planctomycetes,2125,87,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Planctomycetes,2443,88,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0
Planctomycetes,3245,98,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Planctomycetes,3246,88,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Planctomycetes,3852,98,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0
Planctomycetes,24393,105,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0
Planctomycetes,24397,110,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0
Planctomycetes,24603,81,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Planctomycetes,25736,90,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0
Planctomycetes,25737,80,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
Planctomycetes,26116,91,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0
Planctomycetes,26181,82,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Planctomycetes,26850,95,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Planctomycetes,28067,96,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0
Planctomycetes,28853,98,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0
Planctomycetes,28854,98,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0
Planctomycetes,31528,99,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0
Planctomycetes,31529,99,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0
Planctomycetes,31530,100,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0
Planctomycetes,31613,101,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0
Planctomycetes,32236,114,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0
Planctomycetes,208015,104,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0
Planctomycetes,209278,75,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Verrucomicrobia,471,103,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Verrucomicrobia,874,115,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0
Verrucomicrobia,1002,91,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0
Verrucomicrobia,1156,110,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0
Verrucomicrobia,1567,113,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Verrucomicrobia,1746,90,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Verrucomicrobia,1806,121,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0
Verrucomicrobia,2493,104,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0
Verrucomicrobia,23285,101,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0
Verrucomicrobia,23286,90,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Verrucomicrobia,23287,89,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Verrucomicrobia,23288,103,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Verrucomicrobia,23289,86,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Verrucomicrobia,24924,90,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Verrucomicrobia,26239,125,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0
Verrucomicrobia,26240,111,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0
Verrucomicrobia,26477,91,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0
Verrucomicrobia,27772,126,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0
Verrucomicrobia,29679,91,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Verrucomicrobia,29771,85,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0
Verrucomicrobia,29794,60,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Verrucomicrobia,32425,80,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Verrucomicrobia,32426,80,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Verrucomicrobia,206577,79,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Verrucomicrobia,206578,70,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Verrucomicrobia,206579,101,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0
Verrucomicrobia,206580,86,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Verrucomicrobia,206581,100,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Verrucomicrobia,206582,87,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Verrucomicrobia,206583,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Verrucomicrobia,215896,92,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Verrucomicrobia,216480,102,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0
Verrucomicrobia,216496,100,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0
Verrucomicrobia,239716,92,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0
Verrucomicrobia,241270,128,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Verrucomicrobia,244748,113,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
